127.0.0.1 - - [05/Mar/2026 23:04:20] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:04:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:04:59] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:04:59] "GET /mediaqueries.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:04:59] "GET /images/Screenshot%202024-09-08%20145027.png HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:04:59] "GET /images/Screenshot_2024-09-08_162448.png HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:04:59] "GET /images/crls.png HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:05:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:05:17] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:05:17] "GET /mediaqueries.css HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:05:17] "GET /images/crls.png HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:05:17] "GET /images/Screenshot%202024-09-08%20145027.png HTTP/1.1" 200 -
127.0.0.1 - - [05/Mar/2026 23:05:17] "GET /images/Screenshot_2024-09-08_162448.png HTTP/1.1" 200 -
